sel_phenotype,biomolecular,co_phenotype,institution,# of shared individuals,# of shared significant biomolecules (adjusted),co_phecode,shared_biomolecules,p_value
Alzheimer's disease,Total cholesterol,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Omega-6 fatty acids,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Polyunsaturated fatty acids,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Docosahexaenoic acid,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total esterified cholesterol,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of large LDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of IDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in very small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total fatty acids,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in very small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in large LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Saturated fatty acids,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in medium LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phosphatidylcholines,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in very small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of medium LDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in large LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Monounsaturated fatty acids,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in small LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in small LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in IDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in IDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total free cholesterol,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in medium LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phosphoglycerides,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in IDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in small LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in very small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in IDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of small LDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total cholines,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in medium LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,LDL cholesterol,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in large LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in IDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in very small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of very small VLDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,VLDL cholesterol,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in large LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in large LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Average diameter for HDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in medium LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in large LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in medium LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,HDL cholesterol,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in very large HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in IDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in medium LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in small LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in small LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in medium VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in small LDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Stromelysin-1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Uncharacterized protein C14orf93,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Apolipoprotein E,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,RAC-beta serine/threonine-protein kinase,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Vacuolar protein sorting-associated protein 29,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Dual specificity protein phosphatase 26,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Neuralized-like protein 4,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Histone-lysine N-methyltransferase 2C,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Protocadherin beta-10,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cadherin-related family member 5,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Platelet-activating factor acetylhydrolase,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cell surface glycoprotein CD200 receptor 2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Quinone oxidoreductase-like protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Pregnancy-specific beta-1-glycoprotein 5,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Steroidogenic acute regulatory protein_mitochondrial,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Amyloid beta A4 precursor protein-binding family B member 2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Collectin-10,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Dermokine,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cytoskeleton-associated protein 2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Proteasome activator complex subunit 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Guanine nucleotide-binding protein G(k) subunit alpha,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,RING finger protein 122,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Hemoglobin subunit theta-1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Surfeit locus protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Histone deacetylase 8,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Ski-like protein,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Pseudokinase FAM20A,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Disintegrin and metalloproteinase domain-containing protein 11,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Heme oxygenase 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,sphingomyelin (d18:1/17:0_d17:1/18:0_d19:1/16:0),Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,behenoyl sphingomyelin (d18:1/22:0)*,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,sphingomyelin (d18:2/23:0_d18:1/23:1_d17:1/24:1)*,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,sphingomyelin (d18:1/22:1_d18:2/22:0_d16:1/24:1)*,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Sphingomyelins,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in small HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of small VLDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in very small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in small HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in medium VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in medium VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in small VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total triglycerides,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Average diameter for LDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in medium VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in small HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in medium VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of medium VLDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in small HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in medium VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in chylomicrons and extremely large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of large VLDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in medium HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in small HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in medium HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in medium HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in medium HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of medium HDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in very large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Growth factor receptor-bound protein 7,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Ubiquitin carboxyl-terminal hydrolase 21,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Repulsive guidance molecule A,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Interferon-induced protein with tetratricopeptide repeats 2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Furin,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Valine--tRNA ligase,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in chylomicrons and extremely large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in very large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in very large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in very large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in very large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in very large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of very large VLDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in chylomicrons and extremely large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Triglycerides in chylomicrons and extremely large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of chylomicrons and extremely large VLDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in chylomicrons and extremely large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in medium HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in chylomicrons and extremely large VLDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Glycoprotein acetyls,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Endothelial monocyte-activating polypeptide 2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,COP9 signalosome complex subunit 7b,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Mediator of RNA polymerase II transcription subunit 4,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Tumor necrosis factor receptor superfamily member 13C,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Carboxypeptidase A2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Granulocyte colony-stimulating factor,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Transmembrane protein 59-like,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Deformed epidermal autoregulatory factor 1 homolog,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Melanoma-associated antigen 3,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cofilin-1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,MAP kinase-activated protein kinase 5,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Myc box-dependent-interacting protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Galanin-like peptide,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,DNA repair protein XRCC4,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,TOMM40,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,CEACAM19,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,ADAM15,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,SEC14L2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Leucine-rich repeat neuronal protein 1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,14-3-3 protein epsilon,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Tight junction protein ZO-1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Deoxycytidine kinase,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Carboxypeptidase E,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Killer cell immunoglobulin-like receptor 2DL5A,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Trem-like transcript 1 protein,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Moesin,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Tubulin-specific chaperone A,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Cardiotrophin-1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,ADP-ribosylation factor-like protein 1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,TOMM20-like protein 1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,DNA-directed RNA polymerases I and III subunit RPAC1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Small nuclear ribonucleoprotein F,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Beta-soluble NSF attachment protein,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Zinc finger protein 276,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Epididymal-specific lipocalin-10,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Estrogen sulfotransferase,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,PH and SEC7 domain-containing protein 1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Beta-defensin 119,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Nuclear receptor-binding protein,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Glutathione S-transferase Mu 1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Protein MENT,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Interleukin-22 receptor subunit alpha-1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Low-density lipoprotein receptor-related protein 1B,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Protein CEI,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,C-reactive protein,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Stromal interaction molecule 1,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Sorting nexin-7,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Apolipoprotein B,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Cold shock domain-containing protein C2,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,N-palmitoyl-sphingosine (d18:1/16:0),Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Cholesterol in large HDL,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Cholesteryl esters in large HDL,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Concentration of large HDL particles,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Total lipids in large HDL,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Free cholesterol in large HDL,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Phospholipids in large HDL,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,Ubiquitin-conjugating enzyme E2 G2,Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
Alzheimer's disease,palmitoyl sphingomyelin (d18:1/16:0),Hypercholesterolemia,ukb,997,202,272.11,202,0.00655333826065533
