sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Alzheimer's disease	Other intestinal obstruction	87	NA	ukb
Alzheimer's disease	Hallux valgus (Bunion)	87	1	ukb
Alzheimer's disease	Fracture of unspecified part of femur	87	NA	ukb
Alzheimer's disease	Cancer of bronchus; lung	86	NA	ukb
Alzheimer's disease	Benign neoplasm of skin	86	NA	ukb
Alzheimer's disease	Cancer of urinary organs (incl. kidney and bladder)	85	NA	ukb
Alzheimer's disease	Bipolar	85	NA	ukb
Alzheimer's disease	Abnormal involuntary movements	85	NA	ukb
Alzheimer's disease	Cyst of kidney, acquired	85	NA	ukb
Alzheimer's disease	Allergies, other	85	NA	ukb
Alzheimer's disease	Malignant neoplasm of bladder	84	1	ukb
Alzheimer's disease	Transient cerebral ischemia	84	NA	ukb
Alzheimer's disease	Emphysema	84	NA	ukb
Alzheimer's disease	Frequency of urination and polyuria	84	NA	ukb
Alzheimer's disease	Dementias	83	220	ukb
Alzheimer's disease	Other disorders of intestine	83	NA	ukb
Alzheimer's disease	Blood in stool	83	NA	ukb
Alzheimer's disease	Alteration of consciousness	82	NA	ukb
Alzheimer's disease	Cholelithiasis with other cholecystitis	81	71	ukb
Alzheimer's disease	Urethral stricture (not specified as infectious)	80	NA	ukb
Alzheimer's disease	Thoracic or lumbosacral neuritis or radiculitis, unspecified	78	NA	ukb
Alzheimer's disease	Abnormal findings examination of lungs	77	NA	ukb
Alzheimer's disease	Barrett's esophagus	77	NA	ukb
Alzheimer's disease	Other signs and symptoms involving emotional state	76	NA	ukb
Alzheimer's disease	Disturbance of skin sensation	76	NA	ukb
Alzheimer's disease	Fracture of humerus	76	NA	ukb
Alzheimer's disease	Skull and face fracture and other intercranial injury	76	NA	ukb
Alzheimer's disease	Colon cancer	75	NA	ukb
Alzheimer's disease	Adverse effects of sedatives or other central nervous system depressants and anesthetics	75	NA	ukb
Alzheimer's disease	Intracerebral hemorrhage	74	26	ukb
Alzheimer's disease	Rash and other nonspecific skin eruption	74	NA	ukb
Alzheimer's disease	Hydronephrosis	73	NA	ukb
Alzheimer's disease	Sebaceous cyst	73	NA	ukb
Alzheimer's disease	Anxiety disorders	72	NA	ukb
Alzheimer's disease	Epistaxis or throat hemorrhage	72	1	ukb
Alzheimer's disease	Hyperpotassemia	71	NA	ukb
Alzheimer's disease	Complications of cardiac/vascular device, implant, and graft	71	NA	ukb
Alzheimer's disease	Bronchiectasis	70	NA	ukb
Alzheimer's disease	Other symptoms involving urinary system	70	NA	ukb
Alzheimer's disease	Streptococcus infection	69	NA	ukb
Alzheimer's disease	Inflammatory and toxic neuropathy	69	NA	ukb
Alzheimer's disease	Nonspecific abnormal findings in stool contents	68	NA	ukb
Alzheimer's disease	Open wounds of extremities	68	NA	ukb
Alzheimer's disease	Blindness and low vision	67	NA	ukb
Alzheimer's disease	Umbilical hernia	67	NA	ukb
Alzheimer's disease	Spinal stenosis	67	NA	ukb
Alzheimer's disease	Other acute and subacute forms of ischemic heart disease	66	63	ukb
Alzheimer's disease	stress incontinence, female	66	NA	ukb
Alzheimer's disease	Secondary malignancy of lymph nodes	65	NA	ukb
Alzheimer's disease	Anorexia	65	NA	ukb
Alzheimer's disease	Hypotension	65	NA	ukb
Alzheimer's disease	Heart valve replaced	64	NA	ukb
Alzheimer's disease	Dental caries	64	NA	ukb
Alzheimer's disease	Uterine leiomyoma	63	NA	ukb
Alzheimer's disease	Psoriasis vulgaris	63	3	ukb
Alzheimer's disease	Disorders of magnesium metabolism	62	NA	ukb
Alzheimer's disease	Disorders of phosphorus metabolism	62	NA	ukb
Alzheimer's disease	Palpitations	62	NA	ukb
Alzheimer's disease	Fluid overload	61	NA	ukb
Alzheimer's disease	Ventral hernia	61	NA	ukb
Alzheimer's disease	Polyp of corpus uteri	61	NA	ukb
Alzheimer's disease	Other diseases of the teeth and supporting structures	60	NA	ukb
Alzheimer's disease	Acquired spondylolisthesis	60	NA	ukb
Alzheimer's disease	Thrombocytopenia	59	NA	ukb
Alzheimer's disease	Other local infections of skin and subcutaneous tissue	59	NA	ukb
Alzheimer's disease	Postoperative infection	58	NA	ukb
Alzheimer's disease	Migraine	58	NA	ukb
Alzheimer's disease	Calculus of kidney	58	NA	ukb
Alzheimer's disease	Generalized convulsive epilepsy	57	NA	ukb
Alzheimer's disease	Actinic keratosis	57	NA	ukb
Alzheimer's disease	Uterine/Uterovaginal prolapse	56	NA	ukb
Alzheimer's disease	Joint effusions	56	NA	ukb
Alzheimer's disease	Lymphadenitis	55	NA	ukb
Alzheimer's disease	Inflammation of eyelids	55	NA	ukb
Alzheimer's disease	Respiratory insufficiency	55	NA	ukb
Alzheimer's disease	Acute pancreatitis	54	NA	ukb
Alzheimer's disease	Displacement of intervertebral disc	54	NA	ukb
Alzheimer's disease	Chronic sinusitis	53	NA	ukb
Alzheimer's disease	Duodenal ulcer	52	NA	ukb
Alzheimer's disease	Cystitis	52	NA	ukb
Alzheimer's disease	Other disorders of male genital organs	52	NA	ukb
Alzheimer's disease	Cholecystitis without cholelithiasis	51	38	ukb
Alzheimer's disease	Polymyalgia Rheumatica	51	1	ukb
Alzheimer's disease	Seborrheic keratosis	50	NA	ukb
Alzheimer's disease	Viral Enteritis	49	NA	ukb
Alzheimer's disease	Suicide or self-inflicted injury	49	NA	ukb
Alzheimer's disease	Alcohol-related disorders	49	NA	ukb
Alzheimer's disease	Abnormal findings on exam of gastrointestinal tract/ abdominal area	49	NA	ukb
Alzheimer's disease	Peritoneal adhesions (postoperative) (postinfection)	49	NA	ukb
Alzheimer's disease	Bacterial enteritis	48	NA	ukb
Alzheimer's disease	Melanomas of skin	48	NA	ukb
Alzheimer's disease	Open-angle glaucoma	48	NA	ukb
Alzheimer's disease	Postinflammatory pulmonary fibrosis	48	NA	ukb
Alzheimer's disease	Lipoma of skin and subcutaneous tissue	47	NA	ukb
Alzheimer's disease	Disorders of lacrimal system	47	NA	ukb
Alzheimer's disease	Septal Deviations/Turbinate Hypertrophy	47	NA	ukb
Alzheimer's disease	Influenza	47	NA	ukb
Alzheimer's disease	Thyrotoxicosis with or without goiter	46	3	ukb
Alzheimer's disease	Alcoholic liver damage	46	NA	ukb
Alzheimer's disease	Calculus of bile duct	46	42	ukb
Alzheimer's disease	Psychophysical visual disturbances	45	NA	ukb
Alzheimer's disease	Paroxysmal supraventricular tachycardia	45	NA	ukb
Alzheimer's disease	Abdominal aortic aneurysm	45	83	ukb
Alzheimer's disease	Abnormal heart sounds	44	NA	ukb
Alzheimer's disease	Atrioventricular block, complete	44	NA	ukb
Alzheimer's disease	Stricture/obstruction of ureter	44	NA	ukb
Alzheimer's disease	Complication due to other implant and internal device	44	NA	ukb
Alzheimer's disease	Hallucinations	43	NA	ukb
Alzheimer's disease	Hypertensive chronic kidney disease	43	NA	ukb
Alzheimer's disease	Renal failure NOS	43	NA	ukb
Alzheimer's disease	Other disorders of the kidney and ureters	43	NA	ukb
Alzheimer's disease	Protein-calorie malnutrition	42	NA	ukb
Alzheimer's disease	Degenerative disease of the spinal cord	42	NA	ukb
Alzheimer's disease	Other upper respiratory disease	42	NA	ukb
Alzheimer's disease	Pyelonephritis	42	NA	ukb
Alzheimer's disease	Varicose veins of lower extremity, symptomtic	41	NA	ukb
Alzheimer's disease	Sciatica	41	NA	ukb
Alzheimer's disease	Open wound of finger(s)	41	NA	ukb
Alzheimer's disease	Dementia with cerebral degenerations	40	25	ukb
Alzheimer's disease	Ptosis of eyelid	40	NA	ukb
Alzheimer's disease	Bronchopneumonia and lung abscess	40	NA	ukb
Alzheimer's disease	Ulcerative colitis	40	2	ukb
Alzheimer's disease	Synovitis and tenosynovitis	40	NA	ukb
Alzheimer's disease	Burns	39	NA	ukb
Alzheimer's disease	Type 2 diabetes with neurological manifestations	39	NA	ukb
Alzheimer's disease	Neutropenia	39	NA	ukb
Alzheimer's disease	Schizophrenia	39	NA	ukb
Alzheimer's disease	Agorophobia, social phobia, and panic disorder	39	NA	ukb
Alzheimer's disease	Ectropion or entropion	39	NA	ukb
Alzheimer's disease	Cerebral atherosclerosis	39	NA	ukb
Alzheimer's disease	Hemoptysis	39	NA	ukb
Alzheimer's disease	Stricture and stenosis of esophagus	39	NA	ukb
Alzheimer's disease	Ascites (non malignant)	39	NA	ukb
Alzheimer's disease	Chronic Kidney Disease, Stage IV	39	NA	ukb
Alzheimer's disease	Open wound or laceration of eye or eyelid	39	NA	ukb
Alzheimer's disease	Hyperparathyroidism	38	NA	ukb
Alzheimer's disease	Occlusion and stenosis of precerebral arteries	38	67	ukb
Alzheimer's disease	Dislocation	38	NA	ukb
Alzheimer's disease	Intestinal infection due to C. difficile	37	NA	ukb
Alzheimer's disease	Pericarditis	37	NA	ukb
Alzheimer's disease	Flatulence	37	NA	ukb
Alzheimer's disease	Ganglion and cyst of synovium, tendon, and bursa	37	NA	ukb
Alzheimer's disease	Cervicalgia	37	NA	ukb
Alzheimer's disease	Facial nerve disorders [CN7]	36	NA	ukb
Alzheimer's disease	Chronic kidney disease, Stage I or II	36	NA	ukb
Alzheimer's disease	Calculus of ureter	36	NA	ukb
Alzheimer's disease	Bladder neck obstruction	36	NA	ukb
Alzheimer's disease	Other disorders of prostate	36	NA	ukb
Alzheimer's disease	Acquired toe deformities	36	NA	ukb
Alzheimer's disease	Malignant neoplasm of rectum, rectosigmoid junction, and anus	35	NA	ukb
Alzheimer's disease	Hydrocephalus	35	NA	ukb
Alzheimer's disease	Premature beats	35	NA	ukb
Alzheimer's disease	Cholangitis	35	NA	ukb
Alzheimer's disease	Other inflammatory spondylopathies	35	NA	ukb
Alzheimer's disease	Fracture of ankle and foot	35	NA	ukb
Alzheimer's disease	Mitral valve stenosis and aortic valve stenosis	34	NA	ukb
Alzheimer's disease	Esophageal bleeding (varices/hemorrhage)	34	NA	ukb
Alzheimer's disease	Other disorders of gallbladder	34	NA	ukb
Alzheimer's disease	Other disorders of biliary tract	34	NA	ukb
Alzheimer's disease	Kyphoscoliosis and scoliosis	34	NA	ukb
Alzheimer's disease	Pathologic fracture of vertebrae	34	NA	ukb
Alzheimer's disease	Viremia, NOS	33	NA	ukb
Alzheimer's disease	Coma	33	NA	ukb
Alzheimer's disease	Disorders of vitreous body	33	NA	ukb
Alzheimer's disease	Primary/intrinsic cardiomyopathies	33	NA	ukb
Alzheimer's disease	Phlebitis and thrombophlebitis of lower extremities	33	9	ukb
Alzheimer's disease	Acute upper respiratory infections of multiple or unspecified sites	33	NA	ukb
Alzheimer's disease	Other diseases of lung	33	NA	ukb
Alzheimer's disease	Dysuria	33	NA	ukb
Alzheimer's disease	Late effects of cerebrovascular disease	32	NA	ukb
Alzheimer's disease	Heartburn	32	NA	ukb
Alzheimer's disease	Contracture of palmar fascia [Dupuytren's disease]	32	NA	ukb
Alzheimer's disease	Myalgia and myositis unspecified	32	NA	ukb
Alzheimer's disease	Cancer of esophagus	31	NA	ukb
Alzheimer's disease	Benign neoplasm of brain, cranial nerves, meninges	31	NA	ukb
Alzheimer's disease	Secondary hypothyroidism	31	1	ukb
Alzheimer's disease	Second degree AV block	31	NA	ukb
Alzheimer's disease	Regional enteritis	31	3	ukb
Alzheimer's disease	Difficulty in walking	31	NA	ukb
Alzheimer's disease	Secondary malignancy of respiratory organs	30	NA	ukb
Alzheimer's disease	Symptoms involving head and neck	30	NA	ukb
Alzheimer's disease	Elevated blood pressure reading without diagnosis of hypertension	30	NA	ukb
Alzheimer's disease	Empyema and pneumothorax	30	NA	ukb
Alzheimer's disease	Celiac disease	30	8	ukb
Alzheimer's disease	Other disorders of liver	30	NA	ukb
Alzheimer's disease	Other infectious and parasitic diseases	29	NA	ukb
Alzheimer's disease	Secondary malignant neoplasm of liver	29	NA	ukb
Alzheimer's disease	Myeloproliferative disease	29	NA	ukb
Alzheimer's disease	Visual disturbances	29	NA	ukb
Alzheimer's disease	Arrhythmia (cardiac) NOS	29	NA	ukb
Alzheimer's disease	Subdural hemorrhage	29	NA	ukb
Alzheimer's disease	Raynaud's syndrome	29	NA	ukb
Alzheimer's disease	Noninfectious disorders of lymphatic channels	29	NA	ukb
Alzheimer's disease	Nasal polyps	29	1	ukb
Alzheimer's disease	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	29	NA	ukb
Alzheimer's disease	Chronic glomerulonephritis, NOS	29	NA	ukb
Alzheimer's disease	Disorders of uterus, NEC	29	NA	ukb
Alzheimer's disease	Ovarian cyst	29	NA	ukb
Alzheimer's disease	Hypothermia/Chills	29	NA	ukb
Alzheimer's disease	Secondary malignancy of bone	28	NA	ukb
Alzheimer's disease	Hemangioma and lymphangioma, any site	28	NA	ukb
Alzheimer's disease	Abnormal glucose	28	NA	ukb
Alzheimer's disease	Abnormal function study of cardiovascular system	28	NA	ukb
Alzheimer's disease	Peritonitis and retroperitoneal infections	28	NA	ukb
Alzheimer's disease	Liver abscess and sequelae of chronic liver disease	28	NA	ukb
Alzheimer's disease	Cholelithiasis with acute cholecystitis	28	42	ukb
Alzheimer's disease	Hammer toe (acquired)	28	NA	ukb
Alzheimer's disease	Fracture of tibia and fibula	28	NA	ukb
Alzheimer's disease	Fracture of clavicle or scapula	28	NA	ukb
Alzheimer's disease	Open wound of lip and mouth	28	NA	ukb
Alzheimer's disease	Foreign body injury	27	NA	ukb
Alzheimer's disease	Cancer of other lymphoid, histiocytic tissue	27	NA	ukb
Alzheimer's disease	Pernicious anemia	27	NA	ukb
Alzheimer's disease	Cirrhosis of liver without mention of alcohol	27	NA	ukb
Alzheimer's disease	Functional disorders of bladder	27	NA	ukb
Alzheimer's disease	Osteoarthrosis, localized, secondary	27	NA	ukb
Alzheimer's disease	Nonspecific findings on examination of blood	27	NA	ukb
Alzheimer's disease	Retinal vascular changes and abnomalities	26	NA	ukb
Alzheimer's disease	Sinoatrial node dysfunction (Bradycardia)	26	NA	ukb
Alzheimer's disease	Atherosclerosis of the extremities	26	NA	ukb
Alzheimer's disease	Aortic aneurysm	26	NA	ukb
Alzheimer's disease	Disorders of penis	26	NA	ukb
Alzheimer's disease	Scar conditions and fibrosis of skin	26	NA	ukb
Alzheimer's disease	Staphylococcus infections	25	NA	ukb
Alzheimer's disease	Carcinoma in situ of skin	25	NA	ukb
Alzheimer's disease	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	25	NA	ukb
Alzheimer's disease	Essential tremor	25	NA	ukb
Alzheimer's disease	Amblyopia	25	NA	ukb
Alzheimer's disease	Epiphora	25	1	ukb
Alzheimer's disease	Peripheral or central vertigo	25	NA	ukb
Alzheimer's disease	Bundle branch block	25	NA	ukb
Alzheimer's disease	Periapical abscess	25	NA	ukb
Alzheimer's disease	Symptoms affecting skin	25	NA	ukb
Alzheimer's disease	Other hypertrophic and atrophic conditions of skin	25	NA	ukb
Alzheimer's disease	Breast cancer [female]	24	NA	ukb
Alzheimer's disease	Chronic venous insufficiency [CVI]	24	NA	ukb
Alzheimer's disease	Non-Hodgkins lymphoma	23	1	ukb
Alzheimer's disease	Folate-deficiency anemia	23	NA	ukb
Alzheimer's disease	Lack of coordination	23	NA	ukb
Alzheimer's disease	Visual field defects	23	NA	ukb
Alzheimer's disease	Sensorineural hearing loss	23	1	ukb
Alzheimer's disease	Chronic pulmonary heart disease	23	NA	ukb
Alzheimer's disease	Peritoneal or intestinal adhesions	23	NA	ukb
Alzheimer's disease	End stage renal disease	23	NA	ukb
Alzheimer's disease	Open wound of nose and sinus	23	NA	ukb
Alzheimer's disease	Diseases of the larynx and vocal cords	22	NA	ukb
Alzheimer's disease	Chronic prostatitis	22	NA	ukb
Alzheimer's disease	Vaginitis and vulvovaginitis	22	NA	ukb
Alzheimer's disease	Disorders of muscle, ligament, and fascia	22	NA	ukb
Alzheimer's disease	Fracture of hand or wrist	22	NA	ukb
Alzheimer's disease	Other abnormal glucose	21	NA	ukb
Alzheimer's disease	Mineral deficiency NEC	21	NA	ukb
Alzheimer's disease	Phobia	21	NA	ukb
Alzheimer's disease	Encephalitis	21	NA	ukb
Alzheimer's disease	Primary angle-closure glaucoma	21	NA	ukb
Alzheimer's disease	Conjunctivitis, infectious	21	NA	ukb
Alzheimer's disease	Hemorrhage from gastrointestinal ulcer	21	NA	ukb
Alzheimer's disease	Impaction of intestine	21	NA	ukb
Alzheimer's disease	Chronic cystitis	21	NA	ukb
